Date,AAPL,ADBE,AMZN,BAC,COST,CRM,CVX,DIS,GOOGL,HD,JNJ,JPM,KO,MA,META,MSFT,NFLX,NVDA,PEP,PG,TSLA,UNH,V,WMT,XOM
2024-11-25,0.20355611626766199,0.3160973705372681,0.2932994145918819,0.2635996381383042,0.18229590436252618,0.27161908118619915,0.19109148155525088,0.23193335589252945,0.25866642577906973,0.19251010785341383,0.12723515196851565,0.33385280341026075,0.13934248131150073,0.15423246122165118,0.24546968602574398,0.20883304824069926,0.3288952248119859,0.4605148579605171,0.15780680627172813,0.15782805069935718,0.770201423619217,0.27856831660468623,0.20869707702512277,0.170021324626893,0.2167687672978192
2024-11-26,0.19605572689623035,0.317283209853779,0.29782652406912363,0.26351187702354084,0.17994588212623158,0.2672272880719632,0.18604015889961834,0.22964014213123055,0.247107837209835,0.19066052410422987,0.1259086897586598,0.3307435448008665,0.1383204576146127,0.15405919116312158,0.24346202374598333,0.20984935827394016,0.31778506855506716,0.41293104538802083,0.14707335549384531,0.15542672781624026,0.7687018351942468,0.27710727987848854,0.208787845321233,0.1736912419404592,0.21513330572761635
2024-11-27,0.19506186339551024,0.3196319596322739,0.2963284645594799,0.2630621303581733,0.18004139295510535,0.2816963973533753,0.18157176537647077,0.23137455016506953,0.24666670958736905,0.19066021270108344,0.1266017409359256,0.3305052199418501,0.1380346889759847,0.15451153813552912,0.24425589562622116,0.2113780800273216,0.3177646763054251,0.41197213481315864,0.14672219460433714,0.15467857543898192,0.7672658213504989,0.27654770352318964,0.20906659867406158,0.17377825917245382,0.21358984559597718
2024-11-29,0.1955954471696323,0.319029615237932,0.2927688466162532,0.26249133705697736,0.1806206685744578,0.2809192807007725,0.1804198426431995,0.23047362247604147,0.24663160444804677,0.18941951053442918,0.12367407867892108,0.3298716882599136,0.1334353835848132,0.15188006390628406,0.2443671732469581,0.2113411806953381,0.3180197753029064,0.4133456400453512,0.14674194716042588,0.15457506943143243,0.7648893871821023,0.2748880321364795,0.20828778023959352,0.1734003030778601,0.2128730557818939
2024-12-02,0.19557302319203354,0.3187579440371335,0.2818399647495903,0.25583769532113704,0.1788661709194144,0.279477276438096,0.17586238162884207,0.22945897788888436,0.23247247974740026,0.18943438095454912,0.12353897933251003,0.3271138519761323,0.13384549324801068,0.15192842905962384,0.24169752648782747,0.21111903935500886,0.31189479678871784,0.40238883533450176,0.14669871250866623,0.15462662043039294,0.7420864067170455,0.2749498659617871,0.2083652775032829,0.172770752227427,0.2125902537832026
2024-12-03,0.19692742986351638,0.3176669425916119,0.2795105767825341,0.2544302784264389,0.17397561695784755,0.2795627070203663,0.17493842451828087,0.23055453701037085,0.23029437444298895,0.18781093697629495,0.12355548941438972,0.3254674168968721,0.13166100337099268,0.14722745984911056,0.25025640723905707,0.21034077545879964,0.31128990961387504,0.397727485506905,0.14680426242425393,0.16239367945567457,0.7431256110342473,0.27501449578142895,0.20592671503654297,0.17280921298935717,0.20848537008961293
2024-12-04,0.19662036317167964,0.32788360456819937,0.2790501022831533,0.25524605736636186,0.17440540315924125,0.35235455026589974,0.17874120446693006,0.2304011218102942,0.23230971249873483,0.1865975001434481,0.1249737604394999,0.305785352494699,0.13714109659992577,0.1489143940449356,0.2502444944168642,0.20814889287284893,0.31102720676484175,0.4018853450412915,0.1476751587225879,0.16115783208881812,0.7394768198381425,0.2751278004152618,0.20722943403532,0.1702725837879335,0.20322104304818225
2024-12-05,0.19557055655714917,0.3271731303178685,0.2749094832209514,0.2553027577535897,0.17540039986021144,0.3556269230277569,0.17860349277145995,0.23084516519121717,0.23186548748516414,0.1868315351475778,0.12209557130406158,0.30581617193160726,0.13954206281399448,0.14937648142215468,0.2503180794780722,0.205087220380514,0.3107762546610617,0.3692324952024016,0.1464512976725706,0.15504261298409677,0.7410583694399114,0.293825854861413,0.20699217786682497,0.17060520011474517,0.202128741336615
2024-12-06,0.1956196494946128,0.3315003864018144,0.2793694467742134,0.2547143268803283,0.17373651588858344,0.3552827503527507,0.1871504847171273,0.23052715296096474,0.22861009749387648,0.18696485902491555,0.12209322592618407,0.30568405732590814,0.1395985113135681,0.14922876654670494,0.2493385870660751,0.20434324914294988,0.3119139183603918,0.37052647672902517,0.1456799218989899,0.15717891089554992,0.7465879404029223,0.3115912997875658,0.2070994178630283,0.16996274014250984,0.20169443732908143
2024-12-09,0.1977882285750307,0.2822978121174306,0.2795165788515207,0.2580922109568162,0.17420321817252596,0.36245367436542214,0.18751428799094175,0.2343037551675907,0.2263209772925503,0.18580766044223096,0.1214801391841612,0.3064220525198577,0.13775720644987072,0.15125617965231616,0.25229491286102423,0.20396679279531657,0.31640167004814274,0.37512213999869354,0.14781146394639463,0.16109363451532402,0.7466167359569577,0.3149541348575536,0.20784305366040073,0.17518104973590845,0.20211403807060727
