ticker
AAPL
MSFT
GOOGL
AMZN
META
TSLA
NVDA
JPM
V
MA
UNH
PG
KO
PEP
XOM
CVX
JNJ
WMT
HD
COST
BAC
DIS
NFLX
ADBE
CRM
