Date,AAPL,ADBE,AMZN,BAC,COST,CRM,CVX,DIS,GOOGL,HD,JNJ,JPM,KO,MA,META,MSFT,NFLX,NVDA,PEP,PG,TSLA,UNH,V,WMT,XOM
2023-06-08,178.4043731689453,439.0299987792969,124.25,27.410369873046875,501.08074951171875,207.0146942138672,143.01173400878906,90.40111541748047,121.22407531738281,283.0227355957031,148.4528350830078,132.1053924560547,55.5848503112793,361.7945556640625,262.74462890625,319.1567687988281,40.9370002746582,38.48200225830078,167.2090301513672,136.4967041015625,234.86000061035156,465.7379455566406,218.9182891845703,49.28839874267578,99.18985748291016
2023-06-09,178.7897186279297,454.0,123.43000030517578,27.4478816986084,498.37347412109375,212.725341796875,142.67042541503906,89.81491088867188,121.31339263916016,279.5072021484375,148.22125244140625,132.3682098388672,55.67692947387695,363.3989562988281,263.112060546875,320.6580505371094,42.00199890136719,38.74181365966797,167.4385986328125,136.6085205078125,244.39999389648438,468.9586486816406,219.41883850097656,49.586387634277344,98.45640563964844
2023-06-12,181.5857696533203,474.6300048828125,126.56999969482422,27.31659507751465,501.9284973144531,211.12478637695312,141.29637145996094,90.99707794189453,122.71281433105469,282.80657958984375,148.11935424804688,132.35882568359375,55.43753433227539,369.3928527832031,269.16973876953125,325.6231384277344,42.39699935913086,39.45329666137695,167.02537536621094,135.53663635253906,249.8300018310547,467.9801025390625,221.98048400878906,49.91353988647461,97.56710052490234
2023-06-13,181.1115264892578,478.989990234375,126.66000366210938,27.569787979125977,502.9401550292969,206.47132873535156,142.35610961914062,91.69073486328125,122.90139770507812,282.0733337402344,148.8974609375,133.3163299560547,55.658512115478516,365.5248718261719,269.4378967285156,328.0173645019531,43.573001861572266,40.99217224121094,166.69479370117188,135.21038818359375,258.7099914550781,466.7640380859375,219.26177978515625,50.30221939086914,97.58544158935547
2023-06-14,181.7438507080078,479.5299987792969,126.41999816894531,27.307218551635742,507.9308166503906,206.88629150390625,141.080810546875,90.32294464111328,122.74259185791016,281.7255859375,149.6570281982422,132.8188018798828,56.036014556884766,368.8515930175781,271.453857421875,331.0101013183594,44.08599853515625,42.96575164794922,168.19151306152344,136.47805786132812,256.7900085449219,436.88525390625,219.30105590820312,50.810752868652344,96.41191864013672
2023-06-15,183.77914428710938,490.9100036621094,127.11000061035156,27.541658401489258,509.8385314941406,209.3760223388672,142.14956665039062,90.80168151855469,124.15194702148438,283.89697265625,151.66717529296875,134.3207244873047,56.8060417175293,373.0641174316406,279.875,341.5682067871094,44.527000427246094,42.62199401855469,170.52381896972656,138.37020874023438,255.89999389648438,444.43096923828125,221.98048400878906,51.08930587768555,97.08118438720703
2023-06-16,182.7022247314453,495.17999267578125,125.48999786376953,27.37286376953125,504.5106506347656,209.21792602539062,141.23350524902344,89.21894073486328,122.6036376953125,282.3554382324219,152.13034057617188,134.48033142089844,57.214256286621094,370.59368896484375,279.05072021484375,335.9064636230469,43.19599914550781,42.66095733642578,170.82681274414062,139.38616943359375,260.5400085449219,437.371826171875,224.6697235107422,50.37672424316406,96.38441467285156
2023-06-20,182.7911376953125,485.8599853515625,125.77999877929688,27.07278060913086,500.7049865722656,214.36538696289062,138.01834106445312,87.68506622314453,122.17687225341797,283.3235778808594,152.03768920898438,133.7950439453125,56.83387756347656,368.7137756347656,282.3576354980469,331.706787109375,43.470001220703125,43.77614974975586,170.1565399169922,138.0998992919922,274.45001220703125,447.76971435546875,222.27491760253906,49.9329719543457,94.1749038696289
2023-06-21,181.7537384033203,477.4800109863281,124.83000183105469,26.79145622253418,500.6278381347656,207.07398986816406,139.09605407714844,86.60061645507812,119.64598083496094,282.6561584472656,151.80613708496094,133.5979461669922,56.99159240722656,370.2098388671875,279.6863098144531,327.301025390625,42.44499969482422,43.01370620727539,170.26670837402344,139.2930145263672,259.4599914550781,454.79071044921875,223.04051208496094,50.030147552490234,95.22923278808594
2023-06-22,184.7572784423828,477.5799865722656,130.14999389648438,26.219432830810547,505.04052734375,210.72958374023438,137.08432006835938,86.45405578613281,122.22649383544922,283.1073303222656,153.4179229736328,131.02584838867188,57.381256103515625,371.8436279296875,282.9038391113281,333.3356628417969,42.24800109863281,42.99371337890625,172.0297088623047,139.76834106445312,264.6099853515625,456.98480224609375,224.15936279296875,50.44797897338867,94.70664978027344
2023-06-23,184.44110107421875,484.7200012207031,129.3300018310547,26.02250099182129,505.2716979980469,207.5679931640625,135.92581176757812,86.07302856445312,121.42256927490234,282.7595520019531,153.28822326660156,130.34060668945312,56.77821350097656,373.8219299316406,286.7271728515625,328.733642578125,42.402000427246094,42.178314208984375,170.85438537597656,138.37957763671875,256.6000061035156,455.0292053222656,225.2978973388672,50.354042053222656,93.88150787353516
2023-06-26,183.0480499267578,479.510009765625,127.33000183105469,26.341339111328125,504.28900146484375,204.87075805664062,138.31471252441406,86.65922546386719,117.45256042480469,289.41473388671875,151.5745391845703,130.65977478027344,56.79676818847656,371.4696350097656,276.53826904296875,322.4341125488281,41.59400177001953,40.60246276855469,169.77085876464844,138.5193634033203,241.0500030517578,456.9942932128906,222.10809326171875,50.221248626708984,95.6142807006836
2023-06-27,185.80455017089844,489.2699890136719,129.17999267578125,26.48200225830078,510.94647216796875,206.31326293945312,137.88363647460938,87.01094818115234,117.44264221191406,294.9136657714844,151.25958251953125,130.66915893554688,56.67616271972656,375.7707214355469,285.0587463378906,328.2920837402344,41.70800018310547,41.84555435180664,170.9921112060547,139.83363342285156,250.2100067138672,460.3331604003906,223.12881469726562,50.03985595703125,95.85266876220703
2023-06-28,186.98028564453125,482.42999267578125,129.0399932861328,26.322582244873047,513.326171875,209.62301635742188,139.13198852539062,86.7862319946289,119.27877044677734,288.1175537109375,150.9539031982422,130.09652709960938,56.14734649658203,374.23529052734375,283.3110656738281,329.548095703125,42.98400115966797,41.08710861206055,168.67816162109375,139.80567932128906,256.239990234375,452.5966491699219,223.7373504638672,50.31193542480469,96.63195037841797
2023-06-29,187.3162384033203,483.7699890136719,127.9000015258789,26.8758544921875,512.2567749023438,207.90391540527344,140.31747436523438,86.9034652709961,118.20686340332031,289.3489074707031,152.00991821289062,134.639892578125,55.6834716796875,381.5580139160156,279.5770568847656,328.7630310058594,42.82400131225586,40.79231643676758,168.84347534179688,139.23707580566406,257.5,454.4950256347656,229.97955322265625,49.971839904785156,97.82379913330078
2023-06-30,191.64370727539062,488.989990234375,130.36000061035156,26.903987884521484,518.7022705078125,208.7239532470703,141.31436157226562,87.22587585449219,118.80236053466797,291.99969482421875,153.32528686523438,136.5267333984375,55.869014739990234,387.0992431640625,284.9892578125,334.1500549316406,44.04899978637695,42.271244049072266,170.0738983154297,141.43682861328125,261.7699890136719,458.5015869140625,233.08096313476562,50.91115951538086,98.32805633544922
2023-07-03,190.1518096923828,485.2099914550781,130.22000122070312,27.382238388061523,521.2649536132812,209.10928344726562,141.1885986328125,88.41780853271484,119.00086212158203,291.41693115234375,151.31515502929688,137.625,56.203006744384766,387.74884033203125,284.035888671875,331.6479187011719,44.14400100708008,42.382164001464844,170.42282104492188,142.14524841308594,279.82000732421875,455.86871337890625,233.56190490722656,51.241546630859375,98.52058410644531
2023-07-05,189.03536987304688,487.260009765625,130.3800048828125,27.269710540771484,521.3517456054688,211.25323486328125,140.38031005859375,87.72415161132812,120.83698272705078,292.1501159667969,150.81494140625,136.7082061767578,56.62049865722656,388.5066833496094,292.3280029296875,331.8049011230469,44.59000015258789,42.28623580932617,171.32264709472656,141.9028778076172,282.4800109863281,449.51544189453125,235.01449584960938,51.2123908996582,98.0163345336914
2023-07-06,189.5095977783203,481.2900085449219,128.36000061035156,26.51951026916504,517.7291259765625,207.6173858642578,137.2998809814453,86.69830322265625,119.20928955078125,283.89697265625,149.69410705566406,135.35662841796875,56.184452056884766,387.5013732910156,289.9645080566406,334.8663330078125,43.88399887084961,42.07239532470703,171.34104919433594,141.66986083984375,276.5400085449219,447.7410888671875,234.4550323486328,50.888484954833984,94.3582534790039
2023-07-07,188.39312744140625,485.2699890136719,129.77999877929688,26.753950119018555,505.85943603515625,207.07398986816406,138.5032958984375,86.60061645507812,118.58401489257812,284.6395263671875,147.51724243164062,136.42466735839844,55.44225311279297,383.1053161621094,288.5146179199219,330.892333984375,43.810001373291016,42.47209930419922,168.10890197753906,138.6964569091797,274.42999267578125,440.3194274902344,232.07005310058594,49.71596145629883,94.57828521728516
2023-07-10,186.3479766845703,496.3500061035156,127.12999725341797,26.8758544921875,507.74774169921875,210.25535583496094,139.4283447265625,86.07302856445312,115.57673645019531,291.6612854003906,147.75807189941406,137.19024658203125,55.02477264404297,386.5354309082031,292.0598449707031,325.6034240722656,44.17100143432617,42.14933395385742,169.2291259765625,138.7523956298828,269.6099853515625,441.7217712402344,233.74838256835938,50.166175842285156,95.98102569580078
2023-07-11,185.82432556152344,504.739990234375,128.77999877929688,27.213443756103516,510.2816467285156,218.51499938964844,142.005859375,87.43104553222656,116.26155090332031,294.8384704589844,146.94293212890625,139.33578491210938,55.21959686279297,392.0945129394531,296.2207946777344,326.2314758300781,44.020999908447266,42.374168395996094,168.93527221679688,138.0253448486328,269.7900085449219,441.5691223144531,236.0941162109375,50.09168243408203,97.15453338623047
2023-07-12,187.49403381347656,507.3599853515625,130.8000030517578,27.53227996826172,518.3360595703125,224.5516357421875,143.37095642089844,88.07586669921875,118.03813171386719,298.4668884277344,146.43345642089844,140.0257110595703,55.516475677490234,394.9430847167969,307.19415283203125,330.8727722167969,44.404998779296875,43.870079040527344,168.19151306152344,138.74305725097656,271.989990234375,430.89459228515625,237.72335815429688,50.21800231933594,97.63127899169922
2023-07-13,188.25479125976562,517.280029296875,134.3000030517578,27.82297706604004,518.76953125,227.6045379638672,141.45802307128906,88.38850402832031,123.60606384277344,295.7220764160156,147.1096649169922,140.70623779296875,55.9896240234375,394.81488037109375,311.2359313964844,336.23028564453125,45.03799819946289,45.943572998046875,172.1949920654297,138.8362579345703,277.8999938964844,427.12646484375,238.80300903320312,49.92325210571289,95.8434829711914
2023-07-14,188.40301513671875,514.8300170898438,134.67999267578125,27.297842025756836,526.7181396484375,226.5770263671875,137.92855834960938,86.5810775756836,124.47946166992188,297.5080261230469,148.09153747558594,141.55690002441406,56.4998893737793,396.7369384765625,306.7273864746094,338.76190185546875,44.191001892089844,45.435943603515625,172.8193817138672,139.861572265625,281.3800048828125,458.05322265625,238.65577697753906,50.09492492675781,92.54297637939453
2023-07-17,191.6634521484375,522.0,133.55999755859375,27.569787979125977,532.7493286132812,225.2629852294922,137.8028106689453,83.59146118164062,123.71524047851562,297.0850830078125,147.35049438476562,144.96893310546875,56.41638946533203,396.4314270019531,308.46527099609375,339.24267578125,45.005001068115234,46.42721939086914,170.45034790039062,138.87355041503906,290.3800048828125,461.7830810546875,239.4703826904297,50.15646743774414,92.94637298583984
2023-07-18,191.40655517578125,532.22998046875,132.8300018310547,28.78885841369629,533.3563232421875,224.89744567871094,138.08119201660156,83.97249603271484,122.83191680908203,297.7524719238281,147.34124755859375,145.23358154296875,56.193729400634766,392.4493408203125,309.88531494140625,352.7444152832031,47.47999954223633,47.459468841552734,169.3668670654297,139.13453674316406,293.3399963378906,476.9698486328125,236.31005859375,50.065773010253906,92.52464294433594
2023-07-19,192.76014709472656,527.1699829101562,135.36000061035156,29.56719207763672,533.857421875,231.55653381347656,138.9254150390625,85.03741455078125,121.11488342285156,300.30926513671875,147.0448455810547,145.79124450683594,57.186424255371094,392.5577697753906,313.81787109375,348.4172058105469,47.75899887084961,47.04277801513672,171.02886962890625,140.08526611328125,291.260009765625,480.4994201660156,236.947998046875,50.081966400146484,93.16639709472656
2023-07-20,190.8137664794922,516.8800048828125,129.9600067138672,29.71722984313965,536.6031494140625,225.42108154296875,140.4611358642578,84.22651672363281,118.30612182617188,299.9426574707031,155.9745635986328,147.58702087402344,57.882232666015625,392.35076904296875,300.4215087890625,340.361328125,43.742000579833984,45.486907958984375,173.82022094726562,141.22116088867188,262.8999938964844,481.0145263671875,235.1813507080078,51.00832748413086,94.8074951171875
