date,Classical Volatility,SA Volatility,TN Volatility
2021-04-30,0.14147958280335418,0.11002622603725801,0.10806005331142936
2021-06-30,0.10915794081524911,0.09978363264787367,0.10519566089171048
2021-08-31,0.09138822917689408,0.08719634062395287,0.0916528208630283
2021-09-30,0.10795855374893812,0.10250173512332812,0.09331260651474271
2021-11-30,0.12809137885643204,0.11892870967048733,0.10444498201812091
2021-12-31,0.1473847045819239,0.13087990367783645,0.1162084347300947
2022-01-31,0.17798924429904545,0.14020641850258783,0.1267318911080017
2022-02-28,0.21176237157946895,0.17178923875290417,0.142533101334179
2022-03-31,0.22807551036941226,0.17747938780180303,0.15697289394244038
2022-05-31,0.2989689613220433,0.26826665582488535,0.22705601529343789
2022-06-30,0.3184200342166086,0.28464687260734384,0.23756253682198014
2022-08-31,0.25252161090994485,0.21109305643911155,0.17177160519171505
2022-09-30,0.23664640636028716,0.17280185082016744,0.1691651646228455
2022-10-31,0.2553154469721599,0.2453664816571831,0.20013197094601978
2022-11-30,0.2830584956011538,0.2541352644992387,0.2066988130252938
2023-01-31,0.24869234292299694,0.20064632777698854,0.1662763901246403
2023-02-28,0.20730523049252197,0.187113148292813,0.1426755968156242
2023-03-31,0.18234193777377863,0.17242376185660038,0.12924442476782264
2023-05-31,0.1522196376204515,0.13616741027959178,0.09698851223884303
2023-06-30,0.12767301707671191,0.13196401840877886,0.0871684376371104
2023-07-31,0.11738424783692687,0.11971865078823667,0.0969324769303128
2023-08-31,0.11734220658504009,0.08900649633940694,0.09447081337267546
2023-10-31,0.12582155410522208,0.11681646782206437,0.09794297246757622
2023-11-30,0.12384503755779282,0.11096008077730465,0.09946509659610707
2024-01-31,0.09375725856260944,0.08919789086851986,0.08289134617447512
2024-02-29,0.10436173930002217,0.09337357964441442,0.08085765456952343
2024-04-30,0.11184439573910966,0.10827251790377053,0.08940375087191244
2024-05-31,0.10825540894370195,0.0922562858162982,0.09966193577058864
2024-07-31,0.09758787814112557,0.09441038750479598,0.09515961836018884
2024-09-30,0.13999580408994822,0.12564455365485622,0.09672048688737885
2024-10-31,0.10977580524608654,0.13276071611022305,0.08017732963581328
2024-12-31,0.12084129717945562,0.11954517725708633,0.09709136797859137
2025-01-31,0.12075328523524739,0.13364720503922137,0.10375149340276713
2025-02-28,0.11615972703384662,0.1322640358558953,0.1113375038984531
2025-03-31,0.1555231580692333,0.14598274778087333,0.1296757540808038
2025-04-30,0.2929587605221009,0.27228860600460036,0.1973420078101394
2025-06-30,0.2791004111056629,0.26102866536899455,0.19284636653189782
2025-07-31,0.1121394314029332,0.11094672258108741,0.11888618189231093
2025-09-30,0.08662555285905867,0.0772148853502822,0.0931034530297621
2025-10-31,0.09078388339863726,0.09164573458109511,0.0873671857375071
2025-12-31,0.09949063184974052,0.10315550083718299,0.10007773693457628
