date,Classical Selected Assets,SA Selected Assets,TN Selected Assets
2021-04-30,25,10,10
2021-06-30,25,10,10
2021-08-31,25,10,10
2021-09-30,25,10,10
2021-11-30,25,10,10
2021-12-31,25,10,10
2022-01-31,25,10,10
2022-02-28,25,10,10
2022-03-31,25,10,10
2022-05-31,25,10,10
2022-06-30,25,10,10
2022-08-31,25,10,10
2022-09-30,25,10,10
2022-10-31,25,10,10
2022-11-30,25,10,10
2023-01-31,25,10,10
2023-02-28,25,10,10
2023-03-31,25,10,10
2023-05-31,25,10,10
2023-06-30,25,10,10
2023-07-31,25,10,10
2023-08-31,25,10,10
2023-10-31,25,10,10
2023-11-30,25,10,10
2024-01-31,25,10,10
2024-02-29,25,10,10
2024-04-30,25,10,10
2024-05-31,25,10,10
2024-07-31,25,10,10
2024-09-30,25,10,10
2024-10-31,25,10,10
2024-12-31,25,10,10
2025-01-31,25,10,10
2025-02-28,25,10,10
2025-03-31,25,10,10
2025-04-30,25,10,10
2025-06-30,25,10,10
2025-07-31,25,10,10
2025-09-30,25,10,10
2025-10-31,25,10,10
2025-12-31,25,10,10
